"AVL"	[["YV", 4.117647058823529], ["US", 4.252826815642458], ["PI", 6.303522289488168], ["DL", 6.606926237526903], ["OH", 7.199207135777998], ["DH", 8.392370572207085], ["9E", 8.46434634974533], ["9.0", 12.25], ["EV", 15.262527818279487], ["XE", 17.868978444236177]]
"AVP"	[["EA", 4.373659373659374], ["DL", 4.519588218472977], ["US", 4.598624979538386], ["OH", 8.998418079096044], ["9E", 12.010112359550561], ["9.0", 12.032432432432433], ["DH", 16.509360374414978], ["OO", 17.1125], ["EV", 17.997595511621693], ["YV", 32.06681350954479]]
"AZO"	[["US", 2.5744560075685903], ["PI", 5.459307764265668], ["NW", 5.733260617149291], ["OH", 6.402012859938496], ["9.0", 9.020942408376964], ["DH", 9.288684389911383], ["MQ", 10.985638402518198], ["EV", 11.253148614609572], ["9E", 13.2017075773746], ["OO", 15.859838274932615]]
"BDL"	[["PA (1)", 0.4915254237288136], ["F9", 4.021235521235521], ["CO", 4.630872755279906], ["PI", 5.199838677152652], ["NW", 6.222669847850745], ["AA", 6.2454205788873525], ["TW", 6.3], ["DL", 6.7178555120824415], ["EA", 7.621696574225123], ["US", 7.956148351879657], ["ML (1)", 8.470930232558139], ["HP", 8.546420323325636], ["UA", 9.298996085881331], ["9.0", 9.674306393244873], ["WN", 9.973251552977603], ["DH", 10.747915839618896], ["XE", 10.79876523913723], ["9E", 11.03471444568869], ["OH", 11.526067592350014], ["OO", 12.157688540646426], ["MQ", 12.361434186251705], ["YV", 21.500245941957697], ["EV", 23.992481203007518]]
"BET"	[["AS", 11.57842191842986]]
"BFF"	[["OO", 131.0]]
"BFI"	[["CO", 28.0]]
"BFL"	[["HP", 2.453494771601541], ["AA", 5.85330146399761], ["XE", 6.176164304310095], ["OO", 7.9741185943521025], ["CO", 8.775330396475772], ["YV", 8.783698232656292], ["MQ", 9.252258064516129]]
"BGM"	[["PI", 4.598190045248868], ["US", 5.265193989683786], ["OH", 6.822948001718951], ["DH", 7.857861635220126], ["9.0", 10.12436115843271], ["9E", 14.197947214076246], ["EV", 17.203478260869566]]
"BGR"	[["DL", 5.46082774332363], ["UA", 5.539049026853905], ["DH", 7.0620310155077535], ["CO", 7.0788954635108485], ["US", 7.524032825322392], ["OH", 10.317359530370194], ["9.0", 11.667621776504298], ["9E", 12.195281782437746], ["MQ", 12.98659154125954], ["EV", 26.359712230215827], ["XE", 31.586772187676655]]
