((u'JFK', u'SEA'), 11.628663992594879)
((u'DCA', u'PHX'), 10.322281167108754)
((u'MKE', u'STL'), 5.714104653268151)
((u'SYR', u'PVD'), 49.0)
((u'MDW', u'BWI'), 11.180957683741648)
((u'PHL', u'SNA'), 14.298850574712644)
((u'MDW', u'SAN'), 8.631578947368421)
((u'LFT', u'MCN'), 0.0)
((u'LGA', u'HOU'), 9.316361556064074)
((u'SFO', u'ACV'), 5.369770580296896)
((u'MEM', u'DEN'), 8.266501026250404)
((u'PBI', u'TPA'), 2.5959807410508686)
((u'DEN', u'IND'), 9.495197904540163)
((u'LNK', u'FSD'), 5.88837744533947)
((u'LGA', u'SWF'), 7.6875)
((u'JAN', u'CSG'), 12.0)
((u'DLH', u'MSP'), 5.337371205792258)
((u'BDL', u'CVG'), 5.428922389726409)
((u'ATL', u'GNV'), 8.954345322766375)
((u'JFK', u'BNA'), 17.035467980295568)
((u'JAN', u'SHV'), 9.490145891988739)
((u'ACV', u'SMF'), 1.330258302583026)
((u'IND', u'DEN'), 8.305734333413985)
((u'MIA', u'MSY'), 6.637924810479088)
((u'XNA', u'DFW'), 9.259420470090785)
((u'OGG', u'STL'), 18.183962264150942)
((u'CVG', u'SFO'), 11.407226194956719)
((u'CMI', u'PIT'), 2.1739130434782608)
((u'IAH', u'ABI'), 6.611464968152866)
((u'DCA', u'ICT'), 3.483783783783784)
((u'EVV', u'CLT'), 8.396648044692737)
((u'HOU', u'DCA'), 5.573170731707317)
((u'LIT', u'SHV'), 2.5714285714285716)
((u'FWA', u'CVG'), 4.787171439780306)
((u'OAK', u'BNA'), 2.5636363636363635)
((u'CMH', u'LAS'), 15.984195169395363)
((u'MYR', u'CHS'), 12.25)
((u'IAD', u'HPN'), 8.923476005188068)
((u'MKE', u'RST'), 2.0)
((u'ROC', u'LGA'), 9.149228373212516)
((u'CAE', u'CLT'), 4.068909815782238)
((u'GNV', u'EYW'), 0.0)
((u'CLT', u'MDW'), 4.139449541284404)
((u'ANC', u'DUT'), 12.380417695935325)
((u'SNA', u'DTW'), 4.48158409387223)
